iter	RMSE
0	0.2414312188
1	0.2411311188
2	0.2409046301
3	0.2408920558
4	0.240610745
5	0.2403435934
6	0.2400591139
7	0.2397683364
8	0.2394640803
9	0.2391800535
10	0.2389370968
11	0.2386134089
12	0.2383593556
13	0.2380735531
14	0.2377947611
15	0.2375540611
16	0.2372612084
17	0.2370310007
18	0.2367025811
19	0.2364055796
20	0.2361797189
21	0.2358515961
22	0.2355834295
23	0.2353314821
24	0.2350506877
25	0.2347671967
26	0.234557927
27	0.2343061716
28	0.2340309384
29	0.2337550678
30	0.2335199336
31	0.233221707
32	0.2329536843
33	0.2326965481
34	0.2324285433
35	0.2321780009
36	0.2319103786
37	0.2316088729
38	0.2313777308
39	0.2311001094
40	0.2308530769
41	0.2306061627
42	0.2303300678
43	0.2300459472
44	0.229815845
45	0.229605665
46	0.2293713192
47	0.2291462069
48	0.2288965819
49	0.2286458893
50	0.2284399
51	0.2282019581
52	0.2279521656
53	0.2276884024
54	0.22745523
55	0.2271649605
56	0.2269329229
57	0.2266962143
58	0.2264813777
59	0.2261874716
60	0.2259326044
61	0.2256683283
62	0.2254313426
63	0.2251788093
64	0.2249433318
65	0.2247341016
66	0.2245153038
67	0.2243073663
68	0.2240952437
69	0.2238609429
70	0.2236147572
71	0.2233548471
72	0.2231183101
73	0.2228533815
74	0.2226545993
75	0.2223936036
76	0.2221671191
77	0.2218897531
78	0.2216352028
79	0.2214033098
80	0.2211587127
81	0.2209318128
82	0.2207121652
83	0.2204721941
84	0.2202825957
85	0.2199870065
86	0.2197271156
87	0.219496055
88	0.2193284838
89	0.2190545823
90	0.2187715185
91	0.2185217322
92	0.2183001149
93	0.2180908051
94	0.2178690217
95	0.2176687245
96	0.2174427555
97	0.2172581427
98	0.2170470412
99	0.2167994042
100	0.2165999029
101	0.2163690105
102	0.2161201966
103	0.2158953574
104	0.2157119836
105	0.2155063527
106	0.215319422
107	0.215086777
108	0.21492019
109	0.21471355
110	0.2146986805
111	0.2144760904
112	0.214247388
113	0.2140447409
114	0.2138531486
115	0.2136718607
116	0.2134836755
117	0.2132483782
118	0.213069184
119	0.2128373805
120	0.2125959659
121	0.2123684963
122	0.2121679081
123	0.2119158628
124	0.2116906245
125	0.2114758065
126	0.2112187571
127	0.2110179999
128	0.2107994762
129	0.2106281703
130	0.2104145769
131	0.2102006579
132	0.2100219379
133	0.2097952192
134	0.2096594762
135	0.2094879025
136	0.2092450859
137	0.209006544
138	0.2087773139
139	0.2085984128
140	0.2083927009
141	0.2081562956
142	0.2079120594
143	0.2076780804
144	0.2075317062
145	0.2073009506
146	0.2071299889
147	0.2069053931
148	0.206679173
149	0.206461454
150	0.206211813
151	0.2059733115
152	0.2057672053
153	0.2055872369
154	0.2053691801
155	0.2051456492
156	0.2049380727
157	0.2047310344
158	0.2045552331
159	0.2043255578
160	0.2041202069
161	0.2039053393
162	0.2037039573
163	0.2035334679
164	0.2033514546
165	0.203161345
166	0.2029915681
167	0.2027828787
168	0.2025520727
169	0.2023404716
170	0.202121949
171	0.2019125466
172	0.2016972567
173	0.2015439879
174	0.2013561836
175	0.2011547388
176	0.2009315053
177	0.200768119
178	0.200546787
179	0.2003647844
180	0.2001902404
181	0.1999584655
182	0.1997125125
183	0.1995499258
184	0.1993902815
185	0.1992343996
186	0.1990774907
187	0.1988729021
188	0.1986547043
189	0.1984929121
190	0.1983434178
191	0.1981499376
192	0.1979637583
193	0.1977317879
194	0.1975040725
195	0.1972918715
196	0.1971007502
197	0.1969021908
198	0.1967592696
199	0.1966073125
200	0.1964133675
201	0.1962400141
202	0.1960546212
203	0.1958398992
204	0.1956120546
205	0.1953667959
206	0.1951912879
207	0.194992706
208	0.1947921776
209	0.1946110761
210	0.1944254971
211	0.1942561354
212	0.1940680729
213	0.1938752381
214	0.1936830904
215	0.1934914118
216	0.1932899224
217	0.1931073553
218	0.1929162169
219	0.1926771532
220	0.192476381
221	0.1922511444
222	0.1920382031
223	0.1918844885
224	0.1917265815
225	0.1915116131
226	0.1913263194
227	0.1911366577
228	0.1909327703
229	0.1907090051
230	0.1905119122
231	0.1902771747
232	0.1901246256
233	0.1899311337
234	0.18971661
235	0.189511524
236	0.1893227422
237	0.1891318431
238	0.1889471205
239	0.1887411279
240	0.1885310961
241	0.1883820055
242	0.1882731364
243	0.1880839031
244	0.1879273667
245	0.1877039584
246	0.1875211288
247	0.187365258
248	0.1872336709
249	0.187081137
250	0.1869393582
251	0.1868074943
252	0.1866033054
253	0.186414209
254	0.1862526644
255	0.1860615593
256	0.1858776132
257	0.1856644837
258	0.1855122878
259	0.1853614754
260	0.1851655939
261	0.1849962637
262	0.1847886453
263	0.1846368979
264	0.1844358598
265	0.184242612
266	0.1840709834
267	0.1838773885
268	0.1836962242
269	0.1835556677
270	0.1833367203
271	0.1832741002
272	0.1830647066
273	0.1828859793
274	0.1826653902
275	0.182533903
276	0.1823603475
277	0.1821431369
278	0.1819837737
279	0.1817774403
280	0.1815985496
281	0.1814211059
282	0.1812379151
283	0.1810904584
284	0.1809402216
285	0.1808188712
286	0.1806758832
287	0.1804852682
288	0.1802618141
289	0.1801457158
290	0.1799517188
291	0.1797776595
292	0.1796064079
293	0.1794502361
294	0.179323806
295	0.1791729407
296	0.1790047216
297	0.1788653922
298	0.1786666434
299	0.1784894063
300	0.1784829266
301	0.1783213245
302	0.1781310364
303	0.1779574523
304	0.1777942896
305	0.1777906258
306	0.177652402
307	0.1774819466
308	0.1773025129
309	0.1771334005
310	0.1769552767
311	0.1767881693
312	0.176685204
313	0.1765364215
314	0.176342111
315	0.1761401759
316	0.1760028911
317	0.1758233792
318	0.1756025319
319	0.1754427366
320	0.1752427412
321	0.1750850303
322	0.1749128132
323	0.1747470622
324	0.1745858636
325	0.174378241
326	0.174195974
327	0.1740479814
328	0.1738880359
329	0.1737737247
330	0.1736217382
331	0.1734840745
332	0.1733584433
