iter	Passed	Remaining
0	30	15139
1	56	14127
2	73	12220
3	74	9225
4	90	8929
5	108	8901
6	125	8868
7	143	8825
8	163	8898
9	173	8514
10	190	8458
11	207	8422
12	223	8377
13	239	8305
14	257	8319
15	280	8484
16	301	8559
17	320	8577
18	336	8523
19	354	8518
20	369	8430
21	388	8444
22	405	8413
23	421	8355
24	440	8362
25	458	8351
26	477	8373
27	496	8371
28	511	8314
29	528	8276
30	546	8270
31	566	8292
32	587	8309
33	605	8294
34	623	8286
35	636	8200
36	652	8168
37	671	8164
38	694	8210
39	710	8168
40	725	8126
41	742	8096
42	764	8127
43	783	8115
44	799	8086
45	815	8045
46	834	8041
47	849	7997
48	865	7962
49	881	7935
50	899	7922
51	920	7930
52	941	7938
53	962	7946
54	977	7912
55	992	7872
56	1008	7834
57	1025	7813
58	1039	7768
59	1056	7744
60	1072	7717
61	1088	7686
62	1103	7655
63	1119	7627
64	1137	7609
65	1154	7591
66	1171	7572
67	1190	7563
68	1208	7545
69	1225	7527
70	1243	7514
71	1266	7526
72	1284	7511
73	1303	7502
74	1322	7496
75	1340	7476
76	1357	7456
77	1379	7464
78	1396	7441
79	1413	7421
80	1428	7388
81	1447	7376
82	1462	7349
83	1480	7331
84	1497	7313
85	1510	7269
86	1528	7255
87	1548	7248
88	1566	7235
89	1583	7213
90	1602	7200
91	1624	7204
92	1646	7204
93	1663	7187
94	1680	7163
95	1698	7146
96	1709	7102
97	1727	7085
98	1746	7072
99	1762	7048
100	1781	7037
101	1797	7014
102	1815	6998
103	1834	6986
104	1850	6961
105	1865	6933
106	1882	6912
107	1898	6890
108	1915	6871
109	1929	6841
110	1930	6766
111	1946	6743
112	1962	6722
113	1977	6697
114	1996	6684
115	2016	6675
116	2035	6664
117	2052	6646
118	2070	6628
119	2086	6605
120	2103	6590
121	2121	6573
122	2138	6554
123	2155	6535
124	2173	6521
125	2191	6504
126	2210	6493
127	2228	6476
128	2244	6456
129	2262	6440
130	2283	6432
131	2301	6416
132	2317	6394
133	2335	6379
134	2352	6361
135	2375	6357
136	2391	6337
137	2407	6315
138	2426	6302
139	2442	6280
140	2458	6259
141	2477	6244
142	2491	6220
143	2511	6208
144	2529	6192
145	2548	6179
146	2567	6166
147	2583	6145
148	2603	6132
149	2618	6110
150	2636	6094
151	2654	6078
152	2672	6060
153	2687	6037
154	2705	6022
155	2725	6009
156	2743	5993
157	2759	5973
158	2777	5957
159	2795	5940
160	2809	5915
161	2828	5901
162	2846	5885
163	2864	5868
164	2883	5853
165	2901	5837
166	2926	5834
167	2944	5818
168	2961	5800
169	2979	5783
170	2996	5765
171	3009	5738
172	3028	5723
173	3046	5707
174	3062	5686
175	3080	5670
176	3097	5652
177	3113	5632
178	3130	5613
179	3147	5595
180	3166	5581
181	3183	5562
182	3199	5542
183	3220	5530
184	3237	5512
185	3255	5495
186	3272	5477
187	3291	5462
188	3308	5443
189	3324	5424
190	3343	5408
191	3362	5393
192	3383	5382
193	3402	5367
194	3421	5352
195	3439	5334
196	3456	5315
197	3472	5295
198	3488	5276
199	3505	5257
200	3543	5271
201	3566	5261
202	3594	5258
203	3617	5249
204	3649	5252
205	3668	5235
206	3688	5221
207	3706	5203
208	3723	5183
209	3740	5165
210	3755	5144
211	3775	5129
212	3794	5112
213	3812	5095
214	3832	5080
215	3854	5067
216	3867	5043
217	3882	5022
218	3899	5003
219	3917	4985
220	3933	4965
221	3952	4949
222	3970	4931
223	3988	4913
224	4008	4899
225	4027	4882
226	4046	4866
227	4057	4840
228	4075	4823
229	4093	4805
230	4111	4787
231	4130	4771
232	4148	4753
233	4168	4738
234	4190	4725
235	4210	4709
236	4231	4695
237	4249	4677
238	4267	4660
239	4286	4643
240	4304	4625
241	4324	4610
242	4341	4591
243	4362	4577
244	4378	4557
245	4395	4538
246	4411	4518
247	4433	4504
248	4448	4484
249	4465	4465
250	4481	4445
251	4504	4433
252	4521	4413
253	4539	4396
254	4557	4378
255	4577	4363
256	4597	4346
257	4618	4332
258	4637	4315
259	4693	4332
260	4720	4322
261	4791	4352
262	4805	4330
263	4825	4313
264	4848	4299
265	4868	4282
266	4888	4265
267	4908	4248
268	4926	4230
269	4946	4213
270	4963	4194
271	4968	4164
272	4986	4146
273	5003	4126
274	5022	4109
275	5040	4090
276	5057	4071
277	5072	4050
278	5091	4033
279	5111	4015
280	5126	3995
281	5141	3974
282	5157	3954
283	5174	3935
284	5194	3918
285	5210	3898
286	5227	3879
287	5251	3865
288	5267	3846
289	5284	3826
290	5301	3807
291	5321	3790
